vin,model,mfg_year,fuel_type
R211882F,Freightliner Cascadia,2020,Electric
L996264K,International LT,2023,Diesel
E297589C,International LT,2020,Diesel
J045421W,Western Star 49X,2021,LNG
X457056G,International LT,2024,Diesel
F209225A,Peterbilt 579,2024,CNG
T900163V,Navistar 4300,2018,Diesel
I640723R,Western Star 49X,2023,LNG
U728289U,Mack Anthem,2020,Diesel
P400178H,Freightliner Cascadia,2022,Electric
I224731A,Western Star 49X,2015,LNG
E168507D,Freightliner M2,2019,Diesel
X580119A,Hino 268,2015,CNG
L927115B,Navistar 4300,2017,Diesel
K105370I,Mack Anthem,2015,Diesel
L300716U,Mack Anthem,2018,Diesel
K007418Y,Peterbilt 579,2020,CNG
Z485432K,Freightliner M2,2019,Diesel
N876989A,Navistar 4300,2023,Diesel
X529447H,Navistar 4300,2024,Diesel
M619827Z,Hino 268,2017,CNG
Q481310V,Volvo VNL,2015,LNG
O025896R,Freightliner Cascadia,2020,Electric
C217435Q,Kenworth T680,2017,Diesel
D835268Z,Mack Anthem,2020,Diesel
M486067L,Hino 268,2018,CNG
M834488J,Peterbilt 579,2019,CNG
Z425364I,Mack Anthem,2016,Diesel
C805507R,Hino 268,2021,CNG
W065795F,Hino 268,2018,CNG
U562392A,Volvo VNL,2020,LNG
C908551F,Freightliner Cascadia,2017,Electric
F409131G,Freightliner Cascadia,2024,Electric
J786190V,Volvo VNL,2024,LNG
O476022B,Mack Anthem,2015,Diesel
S695354F,Hino 268,2021,CNG
U201227Y,Volvo VNL,2015,LNG
W950026Z,International LT,2020,Diesel
U015153L,Western Star 49X,2021,LNG
C594795C,Volvo VNL,2018,LNG
I407173D,Hino 268,2015,CNG
P980595B,Western Star 49X,2015,LNG
R310064N,Mack Anthem,2023,Diesel
A340391R,Freightliner M2,2020,Diesel
G520360N,Navistar 4300,2024,Diesel
G411849O,Kenworth T680,2020,Diesel
W599285W,Navistar 4300,2018,Diesel
X359520Y,Kenworth T680,2015,Diesel
K100679A,Western Star 49X,2022,LNG
E069680I,Hino 268,2024,CNG
E677403G,Navistar 4300,2016,Diesel
T423394L,Peterbilt 579,2021,CNG
D530067Y,Mack Anthem,2021,Diesel
O255032W,Kenworth T680,2017,Diesel
Q017365I,International LT,2016,Diesel
Q624178L,Freightliner Cascadia,2024,Electric
Y902923O,Freightliner M2,2023,Diesel
K451100C,Western Star 49X,2019,LNG
J605308A,Volvo VNL,2021,LNG
F843021Y,Navistar 4300,2021,Diesel
S673290R,Kenworth T680,2017,Diesel
C575988U,Freightliner Cascadia,2023,Electric
X921299B,Peterbilt 579,2022,CNG
A426033Q,Western Star 49X,2024,LNG
H202755L,Peterbilt 579,2023,CNG
I147709A,Hino 268,2023,CNG
T711523W,Peterbilt 579,2018,CNG
G802362P,Volvo VNL,2019,LNG
H921581K,Western Star 49X,2020,LNG
G705916X,Hino 268,2016,CNG
V186385J,Volvo VNL,2021,LNG
S819597E,Western Star 49X,2020,LNG
T216880D,International LT,2018,Diesel
E537893J,International LT,2020,Diesel
L692897Z,Hino 268,2015,CNG
G845401I,Mack Anthem,2017,Diesel
J272002N,International LT,2024,Diesel
Q948232J,Freightliner Cascadia,2024,Electric
R041447P,Kenworth T680,2022,Diesel
X328116K,Freightliner M2,2018,Diesel
C930202O,Peterbilt 579,2020,CNG
I304232T,Kenworth T680,2016,Diesel
X775213T,Volvo VNL,2015,LNG
V302816D,Peterbilt 579,2024,CNG
W646300T,Kenworth T680,2019,Diesel
Z937775L,Freightliner M2,2020,Diesel
R198321B,Volvo VNL,2019,LNG
T291617Y,Freightliner Cascadia,2022,Electric
H902983Y,Freightliner M2,2020,Diesel
N043841Y,Peterbilt 579,2023,CNG
H622913A,Peterbilt 579,2018,CNG
J708056X,Navistar 4300,2023,Diesel
S667063Z,Mack Anthem,2023,Diesel
X219865D,Freightliner Cascadia,2024,Electric
C494440B,Kenworth T680,2015,Diesel
K634933A,Western Star 49X,2024,LNG
D504962M,Navistar 4300,2015,Diesel
F226261S,Mack Anthem,2017,Diesel
P243625J,Freightliner M2,2019,Diesel
O542188C,Peterbilt 579,2024,CNG
A879919J,Mack Anthem,2015,Diesel
Q341996O,Freightliner Cascadia,2015,Electric
D385324L,Volvo VNL,2021,LNG
P505833Q,Mack Anthem,2020,Diesel
Q303115H,Volvo VNL,2015,LNG
D760545X,Mack Anthem,2021,Diesel
Z694757L,Peterbilt 579,2021,CNG
X453536K,Navistar 4300,2016,Diesel
Y746698Z,International LT,2022,Diesel
L163421V,Hino 268,2023,CNG
V450809N,Volvo VNL,2017,LNG
M481526J,Peterbilt 579,2023,CNG
C559664L,Freightliner Cascadia,2023,Electric
P130742X,Freightliner M2,2015,Diesel
S914261D,Peterbilt 579,2023,CNG
A489332H,Mack Anthem,2020,Diesel
K454307A,Freightliner Cascadia,2021,Electric
I373100P,Kenworth T680,2015,Diesel
H178522F,International LT,2020,Diesel
U587184K,International LT,2019,Diesel
Z354268D,Peterbilt 579,2023,CNG
M447017P,Mack Anthem,2015,Diesel
O208652C,Mack Anthem,2021,Diesel
R772966U,Freightliner M2,2023,Diesel
R633701D,Mack Anthem,2018,Diesel
B052781X,Kenworth T680,2020,Diesel
E580002R,Western Star 49X,2017,LNG
D221425Q,Volvo VNL,2021,LNG
O316094K,Navistar 4300,2024,Diesel
K136817C,Peterbilt 579,2021,CNG
W313695T,Peterbilt 579,2024,CNG
P286209L,Kenworth T680,2021,Diesel
N973525W,Mack Anthem,2024,Diesel
O332227S,International LT,2022,Diesel
A938992S,Navistar 4300,2017,Diesel
O573532B,Peterbilt 579,2017,CNG
Z618507F,Hino 268,2023,CNG
Y087082M,Peterbilt 579,2017,CNG
C718236G,Mack Anthem,2023,Diesel
W071261P,Kenworth T680,2021,Diesel
F838821Q,Kenworth T680,2024,Diesel
M648467U,Kenworth T680,2020,Diesel
S742233J,Volvo VNL,2023,LNG
S228019Q,Navistar 4300,2016,Diesel
L258922U,Kenworth T680,2020,Diesel
V560629N,Kenworth T680,2015,Diesel
E506373P,International LT,2021,Diesel
R180467G,Western Star 49X,2019,LNG
T307538X,Freightliner Cascadia,2019,Electric
O185201X,Kenworth T680,2018,Diesel
Q626084Z,Volvo VNL,2017,LNG
U397561U,Kenworth T680,2015,Diesel
K470554E,Hino 268,2024,CNG
E215164E,Mack Anthem,2024,Diesel
K955640Q,Hino 268,2024,CNG
U196939C,Peterbilt 579,2024,CNG
Z875207A,Peterbilt 579,2018,CNG
Q204262A,Freightliner M2,2020,Diesel
J197121T,Volvo VNL,2022,LNG
Z139369D,Kenworth T680,2023,Diesel
H897609E,Hino 268,2022,CNG
O312677F,International LT,2017,Diesel
D922760V,Western Star 49X,2022,LNG
A988978W,Freightliner Cascadia,2017,Electric
M339431F,Kenworth T680,2018,Diesel
R654308U,Peterbilt 579,2015,CNG
C952312K,Western Star 49X,2015,LNG
F191505Z,Mack Anthem,2021,Diesel
E644974A,Peterbilt 579,2018,CNG
Z002687T,Peterbilt 579,2016,CNG
K486764C,Kenworth T680,2022,Diesel
Y974163W,Hino 268,2022,CNG
A604500P,International LT,2022,Diesel
L553730V,Peterbilt 579,2021,CNG
D649692C,Western Star 49X,2015,LNG
S119529Y,Hino 268,2021,CNG
D353059U,International LT,2021,Diesel
H025512K,Hino 268,2024,CNG
F763643U,Hino 268,2023,CNG
W948989V,Navistar 4300,2015,Diesel
P965466T,Navistar 4300,2016,Diesel
Y544344E,Freightliner Cascadia,2022,Electric
L491699P,Freightliner M2,2018,Diesel
S934497O,Navistar 4300,2023,Diesel
W946408R,Western Star 49X,2015,LNG
V822309G,Navistar 4300,2021,Diesel
Q629739I,Navistar 4300,2015,Diesel
G894132A,Peterbilt 579,2019,CNG
E972021W,Freightliner Cascadia,2021,Electric
M075485S,Mack Anthem,2019,Diesel
X655792I,Freightliner Cascadia,2017,Electric
K030044B,Western Star 49X,2019,LNG
K461293D,Hino 268,2015,CNG
N025121U,Navistar 4300,2017,Diesel
Z756589M,Freightliner Cascadia,2022,Electric
B595708Z,Volvo VNL,2023,LNG
T199314X,Volvo VNL,2017,LNG
Y843456O,Hino 268,2023,CNG
D113885N,Kenworth T680,2021,Diesel
C423622P,Western Star 49X,2020,LNG
A347424N,Freightliner Cascadia,2015,Electric
A104379G,Kenworth T680,2022,Diesel
T680085T,Hino 268,2018,CNG
J294690Z,Freightliner Cascadia,2016,Electric
Q177417M,Mack Anthem,2020,Diesel
O043502I,Kenworth T680,2016,Diesel
R502289B,Volvo VNL,2016,LNG
M652752M,Freightliner Cascadia,2020,Electric
I282930B,Volvo VNL,2023,LNG
N256913A,Western Star 49X,2023,LNG
D303346C,Hino 268,2017,CNG
C116750B,Western Star 49X,2023,LNG
P279955V,Western Star 49X,2015,LNG
F024530L,Kenworth T680,2020,Diesel
P398472B,Hino 268,2017,CNG
S342028D,Kenworth T680,2017,Diesel
K190172Q,Kenworth T680,2015,Diesel
U240507A,Western Star 49X,2019,LNG
U487177Q,Mack Anthem,2022,Diesel
D619924Y,Mack Anthem,2017,Diesel
Y583872R,Volvo VNL,2017,LNG
J725812U,Peterbilt 579,2015,CNG
W909566I,Hino 268,2019,CNG
P448237O,Freightliner M2,2022,Diesel
I379121F,Freightliner Cascadia,2022,Electric
C101878P,Navistar 4300,2015,Diesel
D586901D,Hino 268,2022,CNG
W740392G,Peterbilt 579,2018,CNG
M999452U,Hino 268,2022,CNG
F171222Y,Freightliner Cascadia,2021,Electric
K433872B,Freightliner Cascadia,2016,Electric
L542216Y,Hino 268,2024,CNG
V549633V,Freightliner M2,2018,Diesel
T083344C,Navistar 4300,2019,Diesel
M048878L,Hino 268,2023,CNG
A504702X,Peterbilt 579,2015,CNG
X968519U,Kenworth T680,2017,Diesel
Z377492B,Freightliner M2,2020,Diesel
R329563L,Freightliner M2,2017,Diesel
W777522K,Freightliner M2,2024,Diesel
I206165F,Hino 268,2019,CNG
U292059K,International LT,2016,Diesel
X294115A,Freightliner M2,2016,Diesel
W302955Q,Western Star 49X,2017,LNG
Q963637U,Kenworth T680,2019,Diesel
C262942B,Hino 268,2024,CNG
B615498P,Hino 268,2023,CNG
O851331P,Kenworth T680,2022,Diesel
O800498T,Hino 268,2020,CNG
L211221Y,Freightliner M2,2016,Diesel
I154815J,Mack Anthem,2020,Diesel
T686876A,International LT,2021,Diesel
J191854I,Volvo VNL,2021,LNG
C064420Y,Navistar 4300,2016,Diesel
O629877H,Mack Anthem,2022,Diesel
O735856Z,Kenworth T680,2016,Diesel
U464196I,Mack Anthem,2020,Diesel
T342192B,Navistar 4300,2021,Diesel
T221320S,Navistar 4300,2018,Diesel
I104294N,Peterbilt 579,2024,CNG
F147891E,Freightliner M2,2016,Diesel
M972699N,Hino 268,2023,CNG
S498128M,Volvo VNL,2022,LNG
B180036A,Hino 268,2019,CNG
M020005V,Western Star 49X,2024,LNG
M285386G,International LT,2019,Diesel
P050524H,Navistar 4300,2024,Diesel
A380582Z,Hino 268,2020,CNG
C929900Z,Kenworth T680,2024,Diesel
O862763L,Hino 268,2022,CNG
N838963E,Navistar 4300,2022,Diesel
Z618518W,Freightliner Cascadia,2017,Electric
B626713J,Hino 268,2018,CNG
Q410132G,Mack Anthem,2018,Diesel
R233921I,Freightliner M2,2016,Diesel
U835279E,Freightliner M2,2022,Diesel
F875067Y,Volvo VNL,2018,LNG
A106592O,Hino 268,2021,CNG
N881431I,Western Star 49X,2015,LNG
G797617S,International LT,2020,Diesel
P159698P,Navistar 4300,2018,Diesel
T845720U,Freightliner M2,2018,Diesel
Y266568W,Mack Anthem,2019,Diesel
U295912C,Volvo VNL,2019,LNG
K349899V,Mack Anthem,2023,Diesel
W539460C,Navistar 4300,2020,Diesel
R429907O,Freightliner M2,2016,Diesel
T729669E,International LT,2020,Diesel
J799670A,Western Star 49X,2024,LNG
J897474W,Hino 268,2015,CNG
G994641M,Kenworth T680,2018,Diesel
P984167S,International LT,2020,Diesel
I785369Z,Freightliner Cascadia,2022,Electric
B816498Q,Freightliner M2,2017,Diesel
Z450928Z,Freightliner Cascadia,2017,Electric
Z052102I,Freightliner Cascadia,2023,Electric
M706648D,International LT,2022,Diesel
W082484H,Western Star 49X,2015,LNG
J130889M,Navistar 4300,2019,Diesel
P057488N,Hino 268,2020,CNG
A974185P,Navistar 4300,2023,Diesel
A027500N,Freightliner M2,2018,Diesel
X056619M,Hino 268,2020,CNG
G530564J,International LT,2016,Diesel
B493784C,Kenworth T680,2019,Diesel
H908701E,Freightliner M2,2020,Diesel
B260013X,Western Star 49X,2023,LNG
Q103444I,Kenworth T680,2024,Diesel
Q990674V,Hino 268,2021,CNG
C686524Y,Kenworth T680,2024,Diesel
M221559B,Volvo VNL,2019,LNG
L725622H,International LT,2015,Diesel
C905334Y,Mack Anthem,2021,Diesel
T047476I,Volvo VNL,2022,LNG
B455939U,Peterbilt 579,2020,CNG
A213835F,Freightliner Cascadia,2019,Electric
G124553K,Peterbilt 579,2023,CNG
Q900362L,Mack Anthem,2017,Diesel
F117327K,Volvo VNL,2020,LNG
W648839J,Freightliner M2,2018,Diesel
L558522Q,Volvo VNL,2022,LNG
Z425251H,Navistar 4300,2015,Diesel
C857591E,Freightliner Cascadia,2023,Electric
T050805M,Kenworth T680,2018,Diesel
E147744O,International LT,2022,Diesel
H535247U,Navistar 4300,2019,Diesel
T417159S,International LT,2017,Diesel
N973449C,Volvo VNL,2023,LNG
O537880M,Kenworth T680,2018,Diesel
S183611M,Freightliner M2,2022,Diesel
G389260E,Western Star 49X,2023,LNG
Y882815L,Volvo VNL,2015,LNG
J787304B,Mack Anthem,2015,Diesel
C251521S,Hino 268,2016,CNG
E465353Z,International LT,2022,Diesel
W801891B,Freightliner M2,2016,Diesel
F734467V,Navistar 4300,2019,Diesel
L776296E,Freightliner M2,2024,Diesel
M433629K,Mack Anthem,2018,Diesel
N466450L,International LT,2018,Diesel
I990010M,Peterbilt 579,2019,CNG
I857390O,Mack Anthem,2023,Diesel
A521189Q,International LT,2022,Diesel
R844246V,Volvo VNL,2019,LNG
L884997X,Kenworth T680,2017,Diesel
O728575T,Mack Anthem,2016,Diesel
L958281D,Freightliner M2,2024,Diesel
U221797I,Navistar 4300,2023,Diesel
M912488O,Volvo VNL,2018,LNG
W971705L,Navistar 4300,2020,Diesel
Y844514N,Navistar 4300,2020,Diesel
G672868F,Mack Anthem,2017,Diesel
V230388W,Mack Anthem,2024,Diesel
N681193F,Peterbilt 579,2017,CNG
B814590V,Volvo VNL,2019,LNG
K992177D,Hino 268,2020,CNG
L552866N,Navistar 4300,2022,Diesel
W351588B,Freightliner M2,2017,Diesel
B705326V,Freightliner M2,2022,Diesel
A119391P,Freightliner M2,2016,Diesel
P829742U,Western Star 49X,2015,LNG
D513609S,Volvo VNL,2021,LNG
C858181S,Western Star 49X,2017,LNG
N502437Z,Hino 268,2024,CNG
W158736Z,Freightliner Cascadia,2024,Electric
U271358M,International LT,2019,Diesel
Z693353N,International LT,2018,Diesel
F005856X,Navistar 4300,2016,Diesel
Y473156P,Freightliner Cascadia,2024,Electric
Y979255H,Kenworth T680,2016,Diesel
C164369Q,Freightliner Cascadia,2016,Electric
D283772B,Freightliner Cascadia,2019,Electric
A289666V,Freightliner Cascadia,2022,Electric
Z342816Q,Peterbilt 579,2018,CNG
N416101S,Kenworth T680,2024,Diesel
A753584Q,Mack Anthem,2020,Diesel
I051038A,Western Star 49X,2017,LNG
F273042A,International LT,2020,Diesel
O362814Q,Freightliner Cascadia,2022,Electric
L471893U,Freightliner M2,2016,Diesel
A309690F,Freightliner Cascadia,2016,Electric
L649092G,International LT,2022,Diesel
U849874W,Freightliner Cascadia,2017,Electric
I513587F,Mack Anthem,2020,Diesel
Z174306J,Hino 268,2024,CNG
M811640T,Kenworth T680,2023,Diesel
F398818N,Volvo VNL,2021,LNG
U877583O,Volvo VNL,2020,LNG
Q364770G,Navistar 4300,2016,Diesel
W309091M,Mack Anthem,2023,Diesel
Z860282I,Freightliner Cascadia,2021,Electric
P542041K,Hino 268,2021,CNG
D319057I,Peterbilt 579,2024,CNG
T044100S,Peterbilt 579,2023,CNG
K794193R,Kenworth T680,2022,Diesel
E538109T,Western Star 49X,2016,LNG
I941224D,International LT,2018,Diesel
Q098726K,Hino 268,2021,CNG
F632251T,Western Star 49X,2024,LNG
L224043A,International LT,2023,Diesel
M118900T,Peterbilt 579,2017,CNG
D686163E,Volvo VNL,2024,LNG
D028672J,Freightliner Cascadia,2016,Electric
Z009536A,Hino 268,2024,CNG
I219536L,Freightliner Cascadia,2020,Electric
U005779B,Navistar 4300,2016,Diesel
Z017325K,Freightliner Cascadia,2017,Electric
F007397M,Mack Anthem,2021,Diesel
N072211I,Volvo VNL,2024,LNG
P690871Y,Volvo VNL,2024,LNG
U722104T,Western Star 49X,2020,LNG
K461719J,Freightliner Cascadia,2015,Electric
P170744A,Volvo VNL,2018,LNG
L023442X,Kenworth T680,2024,Diesel
L216025N,Freightliner M2,2017,Diesel
R941209T,Kenworth T680,2022,Diesel
N772690R,Navistar 4300,2019,Diesel
I265513E,Western Star 49X,2024,LNG
B617948R,Hino 268,2022,CNG
W245598H,Peterbilt 579,2018,CNG
Q602119H,International LT,2019,Diesel
I589126Z,Hino 268,2019,CNG
J498647B,Western Star 49X,2020,LNG
D862376A,Volvo VNL,2024,LNG
B884474G,Freightliner M2,2024,Diesel
K378191C,Navistar 4300,2021,Diesel
B749921T,Kenworth T680,2019,Diesel
Z006983M,Freightliner M2,2020,Diesel
R235348G,Navistar 4300,2015,Diesel
H647082O,Freightliner M2,2023,Diesel
L986546J,International LT,2016,Diesel
R021237V,Mack Anthem,2015,Diesel
W205503N,Peterbilt 579,2021,CNG
Y000088P,Hino 268,2021,CNG
N467391A,International LT,2021,Diesel
H088991Q,Western Star 49X,2021,LNG
Y160091K,Western Star 49X,2023,LNG
V232737L,Peterbilt 579,2017,CNG
A897906I,Freightliner Cascadia,2017,Electric
E548186Q,Peterbilt 579,2023,CNG
L630009G,Western Star 49X,2020,LNG
U433611P,Western Star 49X,2017,LNG
F711815Q,Mack Anthem,2017,Diesel
J985458W,Kenworth T680,2015,Diesel
Z942034Q,Volvo VNL,2015,LNG
R015353A,Kenworth T680,2022,Diesel
M607569M,Western Star 49X,2017,LNG
C449466J,Volvo VNL,2017,LNG
P010824U,Western Star 49X,2022,LNG
I028182P,Hino 268,2021,CNG
J387940Z,Hino 268,2017,CNG
F208581Q,Freightliner Cascadia,2023,Electric
A527353T,Western Star 49X,2023,LNG
S235700F,Freightliner Cascadia,2021,Electric
S291828V,International LT,2018,Diesel
Y181612O,Kenworth T680,2021,Diesel
H559046C,Hino 268,2015,CNG
Q079230B,Hino 268,2022,CNG
P600128H,Peterbilt 579,2023,CNG
M271012I,Mack Anthem,2021,Diesel
B961512P,Navistar 4300,2024,Diesel
B485076W,International LT,2015,Diesel
T534460P,Freightliner M2,2024,Diesel
Y227634B,Freightliner Cascadia,2020,Electric
X191530F,Volvo VNL,2024,LNG
W347243J,Freightliner Cascadia,2016,Electric
K617682U,Kenworth T680,2023,Diesel
A127267G,Mack Anthem,2022,Diesel
I666562R,Navistar 4300,2016,Diesel
G197687R,Navistar 4300,2024,Diesel
L947712D,Volvo VNL,2018,LNG
Z350061G,Freightliner Cascadia,2016,Electric
I489742P,Navistar 4300,2024,Diesel
U543404A,Mack Anthem,2024,Diesel
V682121Y,Freightliner M2,2020,Diesel
Q649525K,Navistar 4300,2015,Diesel
X206441H,Freightliner Cascadia,2022,Electric
F197388H,Navistar 4300,2022,Diesel
T273063O,Hino 268,2020,CNG
U594882E,Western Star 49X,2020,LNG
B884968Z,Mack Anthem,2019,Diesel
C640511L,Kenworth T680,2015,Diesel
F125434Z,Hino 268,2019,CNG
T230160N,Hino 268,2019,CNG
G860372T,Freightliner M2,2022,Diesel
D860032S,Hino 268,2017,CNG
N319789M,Hino 268,2015,CNG
N011400T,Mack Anthem,2024,Diesel
L713171D,Freightliner M2,2019,Diesel
W860162W,Freightliner Cascadia,2016,Electric
P908419S,Kenworth T680,2023,Diesel
E785501N,Volvo VNL,2019,LNG
T753582H,Mack Anthem,2017,Diesel
H072887V,Hino 268,2019,CNG
T072790O,Mack Anthem,2019,Diesel
J716160S,Freightliner M2,2016,Diesel
M819722R,Hino 268,2017,CNG
X996477H,Hino 268,2017,CNG
C837530A,Freightliner Cascadia,2020,Electric
A810248R,Kenworth T680,2019,Diesel
A855780K,Peterbilt 579,2022,CNG
L443236K,Kenworth T680,2023,Diesel
Q169069W,Freightliner M2,2020,Diesel
Q685746E,Volvo VNL,2017,LNG
N067516S,Hino 268,2017,CNG
U139521D,Freightliner Cascadia,2021,Electric
A164261E,Western Star 49X,2018,LNG
X033508Q,Freightliner Cascadia,2017,Electric
O243198K,Peterbilt 579,2024,CNG
O248481B,International LT,2015,Diesel
A041691U,Mack Anthem,2016,Diesel
Y302151E,Freightliner M2,2017,Diesel
O586463Q,Freightliner Cascadia,2021,Electric
F953481A,Freightliner Cascadia,2019,Electric
Q501476X,Freightliner Cascadia,2023,Electric
U278961E,Peterbilt 579,2021,CNG
I385512X,Western Star 49X,2022,LNG
O177512L,Mack Anthem,2017,Diesel
X597815Q,Navistar 4300,2021,Diesel
O260972U,Freightliner M2,2019,Diesel
W602446V,Freightliner Cascadia,2021,Electric
C546772W,International LT,2023,Diesel
D171073G,Freightliner M2,2016,Diesel
I715647P,Navistar 4300,2020,Diesel
U370317T,Western Star 49X,2024,LNG
E380274T,Mack Anthem,2020,Diesel
K857260K,Mack Anthem,2019,Diesel
J254686C,Volvo VNL,2019,LNG
A288407B,Hino 268,2021,CNG
J420763E,Freightliner Cascadia,2018,Electric
E135386A,Hino 268,2018,CNG
B259238U,Navistar 4300,2020,Diesel
Z879060Q,Kenworth T680,2020,Diesel
D886932S,Navistar 4300,2015,Diesel
Y553405B,Freightliner M2,2016,Diesel
A892739V,Freightliner M2,2021,Diesel
X159764A,Volvo VNL,2023,LNG
V535670E,Volvo VNL,2022,LNG
Q897755K,International LT,2018,Diesel
Q619038J,Mack Anthem,2019,Diesel
U273627N,Peterbilt 579,2015,CNG
G202227G,Freightliner M2,2024,Diesel
H175769F,Volvo VNL,2015,LNG
N162042I,Hino 268,2018,CNG
K514486J,Hino 268,2016,CNG
L305216A,Volvo VNL,2016,LNG
V392202A,Hino 268,2017,CNG
R980142Z,Western Star 49X,2024,LNG
B471068E,Kenworth T680,2016,Diesel
M770316C,Kenworth T680,2019,Diesel
M050049N,Mack Anthem,2022,Diesel
Y267244K,Volvo VNL,2022,LNG
Y317294C,Mack Anthem,2021,Diesel
K638083C,International LT,2019,Diesel
N654025U,Kenworth T680,2016,Diesel
V985193M,Mack Anthem,2015,Diesel
I327272F,Western Star 49X,2021,LNG
P291635D,International LT,2015,Diesel
T496026A,Mack Anthem,2019,Diesel
J765272P,Kenworth T680,2022,Diesel
N453974V,Volvo VNL,2022,LNG
I950708B,Peterbilt 579,2024,CNG
B406756K,Western Star 49X,2017,LNG
M080192C,Freightliner Cascadia,2016,Electric
N221543C,Kenworth T680,2023,Diesel
O448909L,Western Star 49X,2018,LNG
A253332K,Hino 268,2016,CNG
P351025Z,Freightliner Cascadia,2019,Electric
V550193S,Volvo VNL,2015,LNG
J503698Z,Volvo VNL,2016,LNG
M843933K,Hino 268,2019,CNG
I436296A,Freightliner Cascadia,2015,Electric
H805983I,Freightliner Cascadia,2017,Electric
C441290X,Freightliner M2,2015,Diesel
N596599I,Western Star 49X,2019,LNG
M012376E,Kenworth T680,2020,Diesel
K774954E,Western Star 49X,2024,LNG
K062941N,Freightliner M2,2023,Diesel
L759192Z,Freightliner Cascadia,2022,Electric
O713175U,Western Star 49X,2021,LNG
J626475Q,Volvo VNL,2023,LNG
S864612B,Peterbilt 579,2015,CNG
A961730K,Western Star 49X,2022,LNG
R928452D,Volvo VNL,2024,LNG
V321153W,Navistar 4300,2020,Diesel
G051432L,International LT,2019,Diesel
F143087L,Western Star 49X,2015,LNG
X724792S,Volvo VNL,2020,LNG
P422188T,Navistar 4300,2020,Diesel
V458192A,Volvo VNL,2022,LNG
F487706O,Mack Anthem,2018,Diesel
L693332L,Kenworth T680,2023,Diesel
D865159K,Freightliner M2,2021,Diesel
D578464H,Peterbilt 579,2019,CNG
V585883I,Western Star 49X,2016,LNG
Y256726L,International LT,2022,Diesel
Q084672L,Volvo VNL,2022,LNG
F254355Y,Peterbilt 579,2017,CNG
L962822W,Freightliner M2,2018,Diesel
K018256W,Freightliner M2,2024,Diesel
L472863W,Peterbilt 579,2022,CNG
P420122R,Western Star 49X,2016,LNG
A149929Y,Navistar 4300,2019,Diesel
C096627I,Freightliner Cascadia,2023,Electric
L660450X,Freightliner Cascadia,2015,Electric
P632174C,Freightliner M2,2020,Diesel
K039101O,Freightliner M2,2020,Diesel
I353892K,Freightliner M2,2021,Diesel
Y471193A,Volvo VNL,2018,LNG
F060827Q,Navistar 4300,2022,Diesel
R056461V,Navistar 4300,2017,Diesel
S607626N,Hino 268,2018,CNG
O850095D,Volvo VNL,2015,LNG
B234617Q,Kenworth T680,2022,Diesel
H231336A,Freightliner M2,2022,Diesel
I944164M,Hino 268,2015,CNG
V165441M,Peterbilt 579,2017,CNG
X727768E,Freightliner M2,2017,Diesel
S606349L,Freightliner M2,2019,Diesel
U904617V,Volvo VNL,2022,LNG
F188701N,Hino 268,2017,CNG
C993242K,Hino 268,2016,CNG
X483744R,Volvo VNL,2016,LNG
B172345X,Freightliner Cascadia,2024,Electric
C538694K,Hino 268,2018,CNG
V025485O,Volvo VNL,2018,LNG
R626890S,Western Star 49X,2020,LNG
E723864P,Western Star 49X,2020,LNG
V009538O,Volvo VNL,2024,LNG
U574216R,Navistar 4300,2017,Diesel
L359900X,International LT,2018,Diesel
D378146T,Freightliner M2,2024,Diesel
G761437H,Kenworth T680,2020,Diesel
U443706Y,Volvo VNL,2016,LNG
A187564D,Mack Anthem,2017,Diesel
X263681Q,Western Star 49X,2017,LNG
K418589C,International LT,2023,Diesel
H027729A,Kenworth T680,2022,Diesel
Y845078B,Peterbilt 579,2024,CNG
V435660C,Freightliner M2,2017,Diesel
G337469P,Volvo VNL,2024,LNG
B306773Z,Western Star 49X,2017,LNG
A718222A,Freightliner M2,2022,Diesel
X794190G,Volvo VNL,2015,LNG
G788653W,Freightliner M2,2017,Diesel
K590673A,Volvo VNL,2024,LNG
W342898E,Mack Anthem,2021,Diesel
K605504I,Freightliner Cascadia,2017,Electric
B217048W,Peterbilt 579,2017,CNG
Z186706N,Mack Anthem,2023,Diesel
R201629A,Freightliner Cascadia,2021,Electric
N739928F,Peterbilt 579,2017,CNG
J982718A,Hino 268,2015,CNG
V533717A,Hino 268,2017,CNG
Z864942L,Freightliner Cascadia,2024,Electric
R420398Q,Volvo VNL,2019,LNG
S313549B,International LT,2021,Diesel
C145996B,Freightliner M2,2023,Diesel
I692195C,Peterbilt 579,2018,CNG
K305498R,Volvo VNL,2023,LNG
S388430J,Volvo VNL,2024,LNG
G178167A,International LT,2023,Diesel
P664315H,Navistar 4300,2018,Diesel
U901649Q,Freightliner Cascadia,2018,Electric
C281503X,Mack Anthem,2015,Diesel
A017092O,Peterbilt 579,2016,CNG
G407030O,Kenworth T680,2022,Diesel
Z808172J,Freightliner Cascadia,2017,Electric
P829682X,Kenworth T680,2015,Diesel
D448500J,Freightliner M2,2020,Diesel
P889592P,Mack Anthem,2018,Diesel
A741168B,Western Star 49X,2019,LNG
Z919612E,International LT,2024,Diesel
H662080I,Freightliner Cascadia,2015,Electric
O039170W,Volvo VNL,2015,LNG
N263444U,Navistar 4300,2017,Diesel
R962458F,Kenworth T680,2015,Diesel
T012042K,Freightliner Cascadia,2023,Electric
F536909J,Volvo VNL,2016,LNG
